Ano: 1989 | Categoria: 90_OPTICAL_PHOTO_TECHNICAL_MEDICAL_ETC_APPARATUS | Máximo: 133806779.0 | Mínimo: 49.0
Ano: 1989 | Categoria: 45_CORK_AND_ARTICLES_OF_CORK | Máximo: 253570368.0 | Mínimo: 34.0
Ano: 1989 | Categoria: 97_WORKS_OF_ART_COLLECTORS_PIECES_AND_ANTIQUES | Máximo: 2044945780.0 | Mínimo: 3.0
Ano: 1989 | Categoria: 17_SUGARS_AND_SUGAR_CONFECTIONERY | Máximo: 826159554.0 | Mínimo: 3.0
Ano: 1989 | Categoria: 35_ALBUMINOIDS_MODIFIED_STARCHES_GLUES_ENZYMES | Máximo: 221019616.0 | Mínimo: 20.0
Ano: 1989 | Categoria: 09_COFFEE_TEA_MATE_AND_SPICES | Máximo: 1791729024.0 | Mínimo: 15.0
Ano: 1989 | Categoria: 42_ARTICLES_OF_LEATHER_ANIMAL_GUT_HARNESS_TRAVEL_GOOD | Máximo: 914419086.0 | Mínimo: 6.0
Ano: 1989 | Categoria: 61_ARTICLES_OF_APPAREL_ACCESSORIES_KNIT_OR_CROCHET | Máximo: 49931460.0 | Mínimo: 3.0
Ano: 1989 | Categoria: 63_OTHER_MADE_TEXTILE_ARTICLES_SETS_WORN_CLOTHING_ETC | Máximo: 145774679.0 | Mínimo: 60.0
Ano: 1989 | Categoria: 76_ALUMINIUM_AND_ARTICLES_THEREOF | Máximo: 3517361249.0 | Mínimo: 1.0
Ano: 1989 | Categoria: 86_RAILWAY_TRAMWAY_LOCOMOTIVES_ROLLING_STOCK_EQUIPMEN | Máximo: 1042848768.0 | Mínimo: 44.0
Ano: 1989 | Categoria: 47_PULP_OF_WOOD_FIBROUS_CELLULOSIC_MATERIAL_WASTE_ETC | Máximo: 4373297090.0 | Mínimo: 19.0
Ano: 1989 | Categoria: 93_ARMS_AND_AMMUNITION_PARTS_AND_ACCESSORIES_THEREOF | Máximo: 124281875.0 | Mínimo: 27.0
Ano: 1989 | Categoria: 02_MEAT_AND_EDIBLE_MEAT_OFFAL | Máximo: 1445842123.0 | Mínimo: 8.0
Ano: 1989 | Categoria: 74_COPPER_AND_ARTICLES_THEREOF | Máximo: 882090761.0 | Mínimo: 40.0
Ano: 1989 | Categoria: 79_ZINC_AND_ARTICLES_THEREOF | Máximo: 578833376.0 | Mínimo: 5.0
Ano: 1989 | Categoria: ALL_COMMODITIES | Máximo: 341098833000.0 | Mínimo: 34047480.0
Ano: 1989 | Categoria: 37_PHOTOGRAPHIC_OR_CINEMATOGRAPHIC_GOODS | Máximo: 803953615.0 | Mínimo: 20.0
Ano: 1989 | Categoria: 83_MISCELLANEOUS_ARTICLES_OF_BASE_METAL | Máximo: 311846016.0 | Mínimo: 6.0
Ano: 1989 | Categoria: 59_IMPREGNATED_COATED_OR_LAMINATED_TEXTILE_FABRIC | Máximo: 148872992.0 | Mínimo: 1.0
Ano: 1989 | Categoria: 89_SHIPS_BOATS_AND_OTHER_FLOATING_STRUCTURES | Máximo: 2414749626.0 | Mínimo: 122.0
Ano: 1989 | Categoria: 05_PRODUCTS_OF_ANIMAL_ORIGIN_NES | Máximo: 246888111.0 | Mínimo: 45.0
